Andhra,Bengali,Goan,Gujarati,Hyderabadi,Jain,Karnataka,Kashmiri,Kerala,Maharashtrian,Mughlai,Parsi,Punjabi,Rajasthani,Sindhi,South Indian,Tamil Nadu,Uttar Pradesh
0.8461538461538461,0.6594982078853047,0.8461538461538461,0.8381839348079162,0.7941176470588235,0.7777777777777778,0.8,0.6382978723404256,0.7874015748031497,0.7382920110192838,0.6761904761904762,0.8431372549019608,0.8974189278623428,0.810077519379845,0.75,0.7969303423848878,0.8875739644970414,0.5964912280701754
0.3653846153846153,0.3297491039426523,0.5128205128205128,0.459837019790454,0.4823529411764706,0.4158730158730159,0.28,0.3404255319148936,0.2283464566929134,0.4077134986225895,0.3428571428571428,0.6078431372549019,0.4281932495036399,0.5077519379844961,0.4090909090909091,0.332939787485242,0.378698224852071,0.3859649122807017
0.5,0.3476702508960573,0.5384615384615384,0.5774155995343423,0.611764705882353,0.4761904761904761,0.48,0.1914893617021276,0.4409448818897638,0.571625344352617,0.5095238095238095,0.6470588235294118,0.5883520847121112,0.5387596899224806,0.6136363636363636,0.4604486422668241,0.5443786982248521,0.3596491228070175
0.0,0.021505376344086,0.0128205128205128,0.0232828870779976,0.0117647058823529,0.0476190476190476,0.0,0.0,0.0078740157480314,0.0041322314049586,0.0095238095238095,0.0,0.0211780277961614,0.0077519379844961,0.0,0.0365997638724911,0.0059171597633136,0.0
0.5,0.3369175627240143,0.717948717948718,0.1385331781140861,0.6529411764705882,0.0253968253968253,0.4,0.3404255319148936,0.4015748031496063,0.3402203856749311,0.4476190476190476,0.6470588235294118,0.4983454665784249,0.2829457364341085,0.5681818181818182,0.3317591499409681,0.3431952662721893,0.2719298245614035
0.0961538461538461,0.032258064516129,0.0128205128205128,0.089639115250291,0.1,0.0634920634920634,0.056,0.0212765957446808,0.0314960629921259,0.1666666666666666,0.0095238095238095,0.0,0.0172071475843812,0.0155038759689922,0.0227272727272727,0.0436835891381345,0.0532544378698224,0.0175438596491228
0.4807692307692308,0.2616487455197133,0.6666666666666666,0.1757857974388824,0.6882352941176471,0.0857142857142857,0.272,0.2340425531914893,0.4409448818897638,0.3319559228650138,0.4380952380952381,0.7058823529411765,0.4546657842488418,0.2209302325581395,0.2272727272727272,0.1605667060212514,0.1952662721893491,0.3684210526315789
0.3846153846153846,0.4910394265232975,0.6025641025641025,0.470314318975553,0.5411764705882353,0.3936507936507936,0.384,0.3617021276595745,0.4645669291338583,0.4669421487603306,0.3047619047619048,0.5686274509803921,0.4361350099272005,0.4689922480620155,0.5454545454545454,0.3400236127508855,0.4615384615384615,0.3684210526315789
0.0,0.014336917562724,0.0128205128205128,0.0023282887077997,0.0058823529411764,0.0031746031746031,0.008,0.0,0.0078740157480314,0.0013774104683195,0.019047619047619,0.0784313725490196,0.0033090668431502,0.0,0.0,0.0011806375442739,0.0,0.0
0.0961538461538461,0.064516129032258,0.0641025641025641,0.0221187427240977,0.0529411764705882,0.019047619047619,0.024,0.0212765957446808,0.0078740157480314,0.0523415977961432,0.1142857142857142,0.0,0.0271343481138318,0.0348837209302325,0.0454545454545454,0.0188902007083825,0.0710059171597633,0.043859649122807
0.1538461538461538,0.1971326164874552,0.2692307692307692,0.0873108265424912,0.2764705882352941,0.2666666666666666,0.192,0.0425531914893617,0.1811023622047244,0.1198347107438016,0.2761904761904762,0.5294117647058824,0.3044341495698213,0.1472868217054263,0.4545454545454545,0.204250295159386,0.2426035502958579,0.1403508771929824
0.2115384615384615,0.053763440860215,0.0384615384615384,0.1688009313154831,0.1352941176470588,0.1428571428571428,0.072,0.0212765957446808,0.0551181102362204,0.1501377410468319,0.0571428571428571,0.0392156862745098,0.115155526141628,0.0891472868217054,0.0,0.0696576151121605,0.0828402366863905,0.1052631578947368
0.2115384615384615,0.1505376344086021,0.4871794871794871,0.1746216530849825,0.0823529411764705,0.1841269841269841,0.496,0.0425531914893617,0.6456692913385826,0.3746556473829201,0.0904761904761904,0.1372549019607843,0.0363997352746525,0.0387596899224806,0.0454545454545454,0.48642266824085,0.3905325443786982,0.0175438596491228
0.4230769230769231,0.2258064516129032,0.7948717948717948,0.1804423748544819,0.7294117647058823,0.3111111111111111,0.432,0.5106382978723404,0.4330708661417323,0.3209366391184573,0.4666666666666667,0.3529411764705882,0.4460622104566512,0.2945736434108527,0.4090909090909091,0.2573789846517119,0.4792899408284023,0.4385964912280701
0.173076923076923,0.2329749103942652,0.4615384615384615,0.159487776484284,0.6470588235294118,0.1555555555555555,0.096,0.5957446808510638,0.1574803149606299,0.2121212121212121,0.5476190476190477,0.3529411764705882,0.3990734612839179,0.2829457364341085,0.2272727272727272,0.0743801652892562,0.1005917159763313,0.2719298245614035
0.25,0.2329749103942652,0.5512820512820513,0.1722933643771827,0.6764705882352942,0.1936507936507936,0.16,0.5957446808510638,0.1496062992125984,0.2741046831955923,0.638095238095238,0.2941176470588235,0.4513567174056916,0.3410852713178294,0.3409090909090909,0.1121605667060212,0.1005917159763313,0.3245614035087719
0.2307692307692307,0.3333333333333333,0.2564102564102564,0.1920838183934808,0.8,0.2158730158730158,0.208,0.7872340425531915,0.2047244094488189,0.3154269972451791,0.7904761904761904,0.3725490196078431,0.4487094639311714,0.4224806201550387,0.4772727272727273,0.1263282172373081,0.1893491124260355,0.5614035087719298
