Spice,Andhra,Bengali,Goan,Gujarati,Hyderabadi,Jain,Karnataka,Kashmiri,Kerala,Maharashtrian,Mughlai,Parsi,Punjabi,Rajasthani,Sindhi,South Indian,Tamil Nadu,Uttar Pradesh
tomato,0.15384615384615385,0.1971326164874552,0.2692307692307692,0.08731082654249127,0.27647058823529413,0.26666666666666666,0.192,0.0425531914893617,0.18110236220472442,0.11983471074380166,0.2761904761904762,0.5294117647058824,0.3044341495698213,0.14728682170542637,0.45454545454545453,0.20425029515938606,0.24260355029585798,0.14035087719298245
sesame,0.21153846153846154,0.053763440860215055,0.038461538461538464,0.16880093131548313,0.13529411764705881,0.14285714285714285,0.072,0.02127659574468085,0.05511811023622047,0.15013774104683195,0.05714285714285714,0.0392156862745098,0.11515552614162806,0.08914728682170543,0.0,0.06965761511216056,0.08284023668639054,0.10526315789473684
coconut,0.21153846153846154,0.15053763440860216,0.48717948717948717,0.17462165308498254,0.08235294117647059,0.18412698412698414,0.496,0.0425531914893617,0.6456692913385826,0.3746556473829201,0.09047619047619047,0.13725490196078433,0.036399735274652546,0.03875968992248062,0.045454545454545456,0.48642266824085006,0.3905325443786982,0.017543859649122806
black pepper,0.4230769230769231,0.22580645161290322,0.7948717948717948,0.18044237485448195,0.7294117647058823,0.3111111111111111,0.432,0.5106382978723404,0.4330708661417323,0.3209366391184573,0.4666666666666667,0.35294117647058826,0.44606221045665123,0.29457364341085274,0.4090909090909091,0.25737898465171194,0.47928994082840237,0.43859649122807015
cinnamon,0.17307692307692307,0.23297491039426524,0.46153846153846156,0.15948777648428406,0.6470588235294118,0.15555555555555556,0.096,0.5957446808510638,0.15748031496062992,0.21212121212121213,0.5476190476190477,0.35294117647058826,0.3990734612839179,0.28294573643410853,0.22727272727272727,0.0743801652892562,0.10059171597633136,0.2719298245614035
cloves,0.25,0.23297491039426524,0.5512820512820513,0.17229336437718276,0.6764705882352942,0.19365079365079366,0.16,0.5957446808510638,0.14960629921259844,0.2741046831955923,0.638095238095238,0.29411764705882354,0.4513567174056916,0.34108527131782945,0.3409090909090909,0.11216056670602124,0.10059171597633136,0.32456140350877194
cardamom,0.23076923076923078,0.3333333333333333,0.2564102564102564,0.1920838183934808,0.8,0.21587301587301588,0.208,0.7872340425531915,0.2047244094488189,0.3154269972451791,0.7904761904761904,0.37254901960784315,0.4487094639311714,0.42248062015503873,0.4772727272727273,0.12632821723730814,0.1893491124260355,0.5614035087719298
nutmeg,0.057692307692307696,0.16487455197132617,0.16666666666666666,0.08731082654249127,0.4,0.11428571428571428,0.032,0.2127659574468085,0.031496062992125984,0.11019283746556474,0.3333333333333333,0.3137254901960784,0.3183322303110523,0.21705426356589147,0.18181818181818182,0.04014167650531287,0.05917159763313609,0.21929824561403508
ginger,0.4423076923076923,0.33691756272401435,0.5897435897435898,0.4109429569266589,0.7647058823529411,0.24126984126984127,0.304,0.7659574468085106,0.5118110236220472,0.3140495867768595,0.580952380952381,0.5882352941176471,0.5579086697551291,0.375968992248062,0.25,0.2396694214876033,0.31952662721893493,0.41228070175438597
potato,0.0,0.1827956989247312,0.14102564102564102,0.1548311990686845,0.11176470588235295,0.015873015873015872,0.088,0.06382978723404255,0.09448818897637795,0.174931129476584,0.19523809523809524,0.4117647058823529,0.16743878226340173,0.11627906976744186,0.25,0.08264462809917356,0.08875739644970414,0.21052631578947367
asafetida,0.23076923076923078,0.12186379928315412,0.038461538461538464,0.42607683352735737,0.052941176470588235,0.37777777777777777,0.328,0.3617021276595745,0.1732283464566929,0.24104683195592286,0.07142857142857142,0.0196078431372549,0.20119126406353408,0.36046511627906974,0.11363636363636363,0.34710743801652894,0.41420118343195267,0.2631578947368421
curryleaf,0.6538461538461539,0.05017921146953405,0.07692307692307693,0.18160651920838183,0.15294117647058825,0.19047619047619047,0.44,0.0,0.6062992125984252,0.18044077134986225,0.02857142857142857,0.058823529411764705,0.03309066843150232,0.06976744186046512,0.13636363636363635,0.48642266824085006,0.591715976331361,0.008771929824561403
lemon,0.19230769230769232,0.1111111111111111,0.14102564102564102,0.2351571594877765,0.18235294117647058,0.19365079365079366,0.096,0.0851063829787234,0.1889763779527559,0.2024793388429752,0.11904761904761904,0.19607843137254902,0.15354070152217075,0.10077519379844961,0.09090909090909091,0.08028335301062574,0.15384615384615385,0.16666666666666666
mustard,0.5384615384615384,0.3154121863799283,0.15384615384615385,0.3061699650756694,0.2,0.2984126984126984,0.448,0.10638297872340426,0.4330708661417323,0.2396694214876033,0.06666666666666667,0.0196078431372549,0.17670416942422237,0.19767441860465115,0.06818181818181818,0.4474616292798111,0.5207100591715976,0.14912280701754385
capsicum,0.057692307692307696,0.03225806451612903,0.038461538461538464,0.018626309662398137,0.03529411764705882,0.09841269841269841,0.032,0.0,0.0,0.024793388429752067,0.047619047619047616,0.0196078431372549,0.0827266710787558,0.03488372093023256,0.0,0.048406139315230225,0.029585798816568046,0.017543859649122806
banana,0.019230769230769232,0.04659498207885305,0.01282051282051282,0.05355064027939464,0.011764705882352941,0.1111111111111111,0.048,0.02127659574468085,0.11023622047244094,0.024793388429752067,0.023809523809523808,0.0784313725490196,0.009265387160820648,0.003875968992248062,0.0,0.03896103896103896,0.04142011834319527,0.017543859649122806
radish,0.0,0.010752688172043012,0.01282051282051282,0.020954598370197905,0.0058823529411764705,0.0031746031746031746,0.0,0.02127659574468085,0.0,0.005509641873278237,0.0,0.0,0.01257445400397088,0.011627906976744186,0.0,0.0035419126328217238,0.005917159763313609,0.008771929824561403
sweet potato,0.0,0.017921146953405017,0.01282051282051282,0.012805587892898719,0.0,0.0,0.0,0.0,0.007874015748031496,0.012396694214876033,0.0,0.0196078431372549,0.0013236267372600927,0.003875968992248062,0.0,0.0023612750885478157,0.0,0.017543859649122806
star anise,0.0,0.03225806451612903,0.05128205128205128,0.015133876600698487,0.047058823529411764,0.05396825396825397,0.016,0.0425531914893617,0.05511811023622047,0.045454545454545456,0.047619047619047616,0.0196078431372549,0.0900066181336863,0.046511627906976744,0.0,0.01652892561983471,0.047337278106508875,0.07894736842105263
bayleaf,0.019230769230769232,0.13261648745519714,0.038461538461538464,0.037252619324796274,0.21176470588235294,0.09841269841269841,0.024,0.1702127659574468,0.047244094488188976,0.10606060606060606,0.19047619047619047,0.0784313725490196,0.15089344804765056,0.17054263565891473,0.09090909090909091,0.020070838252656435,0.04142011834319527,0.14035087719298245
caraway,0.0,0.0035842293906810036,0.01282051282051282,0.0034924330616996507,0.12352941176470589,0.009523809523809525,0.0,0.1702127659574468,0.007874015748031496,0.030303030303030304,0.047619047619047616,0.0,0.005956320317670417,0.003875968992248062,0.0,0.0011806375442739079,0.0,0.05263157894736842
cashew,0.038461538461538464,0.05734767025089606,0.038461538461538464,0.04190919674039581,0.16470588235294117,0.05714285714285714,0.152,0.0851063829787234,0.09448818897637795,0.07575757575757576,0.21904761904761905,0.0784313725490196,0.0800794176042356,0.06201550387596899,0.06818181818181818,0.1038961038961039,0.1242603550295858,0.14035087719298245
fenugreek,0.11538461538461539,0.08243727598566308,0.07692307692307693,0.15017462165308498,0.1,0.0761904761904762,0.208,0.0851063829787234,0.09448818897637795,0.06198347107438017,0.09047619047619047,0.13725490196078433,0.1654533421575116,0.15503875968992248,0.11363636363636363,0.17237308146399055,0.1893491124260355,0.07894736842105263
oak,0.11538461538461539,0.07526881720430108,0.15384615384615385,0.046565774155995346,0.14705882352941177,0.03492063492063492,0.192,0.10638297872340426,0.15748031496062992,0.07713498622589532,0.05714285714285714,0.17647058823529413,0.06353408338848444,0.05426356589147287,0.25,0.0295159386068477,0.17751479289940827,0.10526315789473684
almond,0.0,0.08243727598566308,0.01282051282051282,0.06286379511059371,0.12352941176470589,0.0380952380952381,0.024,0.19148936170212766,0.015748031496062992,0.06198347107438017,0.1523809523809524,0.0196078431372549,0.04765056254136334,0.09689922480620156,0.11363636363636363,0.014167650531286895,0.005917159763313609,0.17543859649122806
date,0.0,0.010752688172043012,0.0,0.012805587892898719,0.011764705882352941,0.0031746031746031746,0.0,0.0425531914893617,0.007874015748031496,0.011019283746556474,0.004761904761904762,0.0,0.009927200529450696,0.011627906976744186,0.045454545454545456,0.0,0.0,0.02631578947368421
saffron,0.019230769230769232,0.10752688172043011,0.01282051282051282,0.05355064027939464,0.18823529411764706,0.031746031746031744,0.048,0.2553191489361702,0.023622047244094488,0.06473829201101929,0.19523809523809524,0.0196078431372549,0.05162144275314361,0.10465116279069768,0.045454545454545456,0.024793388429752067,0.029585798816568046,0.20175438596491227
spinach,0.0,0.03225806451612903,0.02564102564102564,0.02677532013969732,0.023529411764705882,0.01904761904761905,0.008,0.0851063829787234,0.015748031496062992,0.015151515151515152,0.0380952380952381,0.0,0.08669755129053607,0.01937984496124031,0.045454545454545456,0.04014167650531287,0.023668639053254437,0.02631578947368421
pumpkin,0.038461538461538464,0.021505376344086023,0.02564102564102564,0.0011641443538998836,0.01764705882352941,0.0031746031746031746,0.016,0.0,0.031496062992125984,0.009641873278236915,0.009523809523809525,0.09803921568627451,0.009927200529450696,0.023255813953488372,0.022727272727272728,0.025974025974025976,0.03550295857988166,0.02631578947368421
mango,0.07692307692307693,0.08602150537634409,0.01282051282051282,0.08149010477299184,0.052941176470588235,0.10476190476190476,0.056,0.0425531914893617,0.031496062992125984,0.07851239669421488,0.07142857142857142,0.0196078431372549,0.20913302448709464,0.28294573643410853,0.18181818181818182,0.05076741440377804,0.05917159763313609,0.22807017543859648
oats,0.0,0.0035842293906810036,0.0,0.006984866123399301,0.0058823529411764705,0.0031746031746031746,0.008,0.0,0.0,0.004132231404958678,0.0,0.0,0.005294506949040371,0.003875968992248062,0.0,0.020070838252656435,0.0,0.0
carrot,0.019230769230769232,0.03225806451612903,0.02564102564102564,0.03608847497089639,0.06470588235294118,0.02857142857142857,0.024,0.0,0.09448818897637795,0.02203856749311295,0.11904761904761904,0.058823529411764705,0.05757776307081403,0.023255813953488372,0.0,0.11216056670602124,0.05917159763313609,0.017543859649122806
nepalese cardamom,0.038461538461538464,0.0035842293906810036,0.0,0.006984866123399301,0.17058823529411765,0.006349206349206349,0.0,0.2765957446808511,0.007874015748031496,0.0440771349862259,0.03333333333333333,0.0196078431372549,0.01786896095301125,0.01937984496124031,0.09090909090909091,0.009445100354191263,0.005917159763313609,0.06140350877192982
arrowroot,0.0,0.007168458781362007,0.0,0.010477299185098952,0.0058823529411764705,0.0,0.0,0.0,0.0,0.005509641873278237,0.0,0.0,0.0013236267372600927,0.007751937984496124,0.0,0.0,0.0,0.0
orange,0.0,0.025089605734767026,0.0,0.0034924330616996507,0.0058823529411764705,0.012698412698412698,0.008,0.0,0.007874015748031496,0.006887052341597796,0.004761904761904762,0.0,0.005956320317670417,0.003875968992248062,0.0,0.0023612750885478157,0.005917159763313609,0.017543859649122806
fennel,0.057692307692307696,0.13261648745519714,0.07692307692307693,0.05238649592549476,0.06470588235294118,0.12063492063492064,0.056,0.40425531914893614,0.07086614173228346,0.05922865013774105,0.09047619047619047,0.0392156862745098,0.14493712772998016,0.2558139534883721,0.022727272727272728,0.04132231404958678,0.08284023668639054,0.18421052631578946
indian cassia,0.0,0.0,0.01282051282051282,0.006984866123399301,0.011764705882352941,0.0,0.016,0.0,0.0,0.0371900826446281,0.0,0.0196078431372549,0.0066181336863004635,0.007751937984496124,0.022727272727272728,0.0,0.0,0.008771929824561403
tamarind,0.3076923076923077,0.03942652329749104,0.2692307692307692,0.03608847497089639,0.12941176470588237,0.0761904761904762,0.328,0.06382978723404255,0.18110236220472442,0.10192837465564739,0.009523809523809525,0.0784313725490196,0.019192587690271344,0.027131782945736434,0.045454545454545456,0.18772136953955135,0.2781065088757396,0.07017543859649122
strawberry,0.0,0.0,0.0,0.0011641443538998836,0.0,0.0031746031746031746,0.008,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0013236267372600927,0.0,0.0,0.0,0.0,0.0
grape,0.0,0.0,0.0,0.004656577415599534,0.0,0.006349206349206349,0.016,0.02127659574468085,0.007874015748031496,0.006887052341597796,0.004761904761904762,0.0,0.0033090668431502318,0.0,0.0,0.0023612750885478157,0.011834319526627219,0.008771929824561403
spearmint,0.0,0.017921146953405017,0.0,0.037252619324796274,0.18823529411764706,0.08571428571428572,0.032,0.10638297872340426,0.03937007874015748,0.03168044077134986,0.0761904761904762,0.19607843137254902,0.09331568497683654,0.046511627906976744,0.022727272727272728,0.01770956316410862,0.03550295857988166,0.10526315789473684
pigeonpea,0.07692307692307693,0.007168458781362007,0.08974358974358974,0.01629802095459837,0.01764705882352941,0.015873015873015872,0.136,0.0,0.07874015748031496,0.013774104683195593,0.0,0.11764705882352941,0.0013236267372600927,0.0,0.022727272727272728,0.03541912632821724,0.2781065088757396,0.02631578947368421
chickpea,0.0,0.0035842293906810036,0.038461538461538464,0.0,0.0,0.0031746031746031746,0.008,0.0,0.007874015748031496,0.0027548209366391185,0.0,0.0196078431372549,0.013898080741230973,0.0,0.022727272727272728,0.012987012987012988,0.047337278106508875,0.0
beet,0.0,0.007168458781362007,0.01282051282051282,0.0011641443538998836,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.009265387160820648,0.003875968992248062,0.0,0.009445100354191263,0.005917159763313609,0.008771929824561403
broccoli,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0033090668431502318,0.003875968992248062,0.0,0.0011806375442739079,0.0,0.0
dill,0.0,0.0,0.0,0.010477299185098952,0.0,0.0031746031746031746,0.0,0.0,0.0,0.004132231404958678,0.0,0.0196078431372549,0.004632693580410324,0.0,0.022727272727272728,0.0035419126328217238,0.0,0.0
flax,0.0,0.0,0.0,0.0034924330616996507,0.0,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0,0.0,0.0,0.0,0.0,0.0035419126328217238,0.0,0.0
apple,0.0,0.017921146953405017,0.0,0.012805587892898719,0.023529411764705882,0.03492063492063492,0.024,0.02127659574468085,0.015748031496062992,0.013774104683195593,0.04285714285714286,0.0,0.01455989410986102,0.011627906976744186,0.0,0.0070838252656434475,0.011834319526627219,0.05263157894736842
pomegranate,0.019230769230769232,0.0035842293906810036,0.0,0.012805587892898719,0.01764705882352941,0.022222222222222223,0.0,0.02127659574468085,0.0,0.006887052341597796,0.004761904761904762,0.0,0.031105228325612178,0.0,0.022727272727272728,0.0035419126328217238,0.0,0.017543859649122806
pineapple,0.0,0.010752688172043012,0.0,0.006984866123399301,0.023529411764705882,0.01904761904761905,0.024,0.02127659574468085,0.007874015748031496,0.006887052341597796,0.01904761904761905,0.0,0.007941760423560556,0.0,0.0,0.0059031877213695395,0.005917159763313609,0.008771929824561403
melon,0.019230769230769232,0.0,0.0,0.0011641443538998836,0.023529411764705882,0.006349206349206349,0.0,0.0,0.0,0.0013774104683195593,0.004761904761904762,0.0,0.005294506949040371,0.011627906976744186,0.0,0.0011806375442739079,0.0,0.017543859649122806
